track_id,track_name,artists,track_genre,vibe,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness,loudness,duration_min
7f9WCjVd3u8XGYJ5jfrDpJ,La Perla (feat. Rubén Blades & La Chilinga),Calle 13;Rubén Blades;La Chilinga,afrobeat,Acoustic & Mellow,22,0.735,0.681,0.968,90.003,0.673,0.316,0.0584,0.0,-7.757,6.936
4nkLVkNij5R49hsKvLhVAN,Feelin - Carlo Lio Remix,Domshe;Carlo Lio,electronic,Instrumental,22,0.719,0.959,0.482,129.994,0.154,0.0573,0.129,0.885,-7.686,7.415
7nwVLrbEvFNH5sdPepvHjl,Broken Pieces,Dion Timmer;Excision;Monika Santucci,dubstep,Energetic & Danceable,22,0.527,0.935,0.155,102.065,0.0158,0.0429,0.089,3.01e-06,-0.319,3.529
7IKOOwdzLMVhx9PqFXRgnL,Focus (feat. Heather Sommer),Far Out;Heather Sommer,dubstep,Energetic & Danceable,22,0.443,0.622,0.163,100.111,0.0557,0.0301,0.0861,7.47e-06,-5.952,4.676
7D3d5Hzu9BV0z655mfH1Vj,My Florida Sunshine,Claire Lynch,bluegrass,Acoustic & Mellow,22,0.507,0.509,0.839,173.309,0.648,0.0277,0.289,6.1e-05,-7.865,3.042
7cptHgjGLjt1skDmCLhCwW,Whiskey Before Breakfast,Bryan Sutton,bluegrass,Instrumental,22,0.484,0.669,0.964,122.243,0.149,0.0338,0.187,0.945,-10.413,2.923
47GAtWXlzdiyrJ50YoC12N,Gamblers & Vegas,Larry The Cable Guy,comedy,Acoustic & Mellow,22,0.573,0.761,0.192,107.691,0.785,0.953,0.757,0.0,-11.995,2.362
1rMJdcuF12ssnNp7GquFan,Lesbians Love Whale Watching,Margaret Cho,comedy,Acoustic & Mellow,22,0.365,0.321,0.174,75.71,0.686,0.489,0.849,0.0,-16.048,5.175
1dPOioHG4fOwbim38TeCzd,Mowing the Lawn,Steve Rannazzisi,comedy,Acoustic & Mellow,22,0.552,0.875,0.423,77.532,0.809,0.925,0.905,0.0,-4.969,3.97
4lJAHAMuSCeWzuXhwfutAr,Dance,Psyko Punkz,hardstyle,Energetic & Danceable,22,0.51,0.801,0.0912,150.02,0.00836,0.0494,0.105,0.0,-5.767,2.933
0kR7PYS4TWrbDWu7HJtFXU,You (Prettier Than),Stephen Lynch,comedy,Acoustic & Mellow,22,0.535,0.261,0.373,130.518,0.397,0.0305,0.124,0.0,-10.932,2.935
